Word,Meaning,Audio
pit,hố sâu,4000B4_pit.mp3
rim,"miệng (chai, cốc, bát, chum, vại);bờ, mép, vành (vật hình tròn)",4000B4_rim.mp3
roost,"chỗ đậu (chim, gà)",4000B4_roost.mp3
slippery,"trơn,dễ tuột, khó nắm giữ (vấn đề, người...)",4000B4_slippery.mp3
soar,"bay liệng, bay cao, vút lên cao",4000B4_soar.mp3
trivial,"bình thường, tầm thường, không đáng kể",4000B4_trivial.mp3
typical,"tiêu biểu,đặc thù, đặc trưng",4000B4_typical.mp3
utterly,hoàn toàn,4000B4_utterly.mp3
weep,"khóc, bật khóc",4000B4_weep.mp3
awhile,"một lúc, một lát, một chốc",4000B4_awhile.mp3
cyberspace,không gian máy tính,4000B4_cyberspace.mp3
edit,"chọn lọc, cắt xén, thêm bớt",4000B4_edit.mp3
essay,bài tiểu luận,4000B4_essay.mp3
evaluate,"ước lượng, định giá",4000B4_evaluate.mp3
faint,"ngất đi, xỉu đi",4000B4_faint.mp3
global,toàn cầu,4000B4_global.mp3
gymnasium,"(thể dục,thể thao) phòng tập thể dục",4000B4_gymnasium.mp3
highlight,"làm nổi bật, đánh dấu nổi bật",4000B4_highlight.mp3
ignorant,(adj) không biết,4000B4_ignorant.mp3
index,"chỉ mục, chỉ số",4000B4_index.mp3
lecture,"bài giảng, bài diễn thuyết, bài thuyết trình, bài nói chuyện",4000B4_lecture.mp3
moral,"noun: bài học, lời răn dạyadj: (thuộc) đạo đức",4000B4_moral.mp3
operate,"hoạt động, làm việc (máy...)",4000B4_operate.mp3
private,"riêng, tư, cá nhân",4000B4_private.mp3
recent,"gần đây, mới đây",4000B4_recent.mp3
resolution,"giải pháp, độ phân giải",4000B4_resolution.mp3
semester,học kỳ sáu tháng,4000B4_semester.mp3
typewritten,được đánh máy,4000B4_typewritten.mp3
weird,"kỳ quặc, khó hiểu",4000B4_weird.mp3
absolute,"tuyệt đối, hoàn toàn",4000B4_absolute.mp3
alas,"chao ôi!, than ôi!, trời ơi!, ôi!",4000B4_alas.mp3
attentive,"chăm chú, lưu tâm, chu đáo",4000B4_attentive.mp3
cape,áo choàng không tay,4000B4_cape.mp3
envision,"mường tượng, hình dung",4000B4_envision.mp3
evenly,"ngang nhau, bằng nhau, công bằng",4000B4_evenly.mp3
folk,"người (bình thường, nói chung), dân dã, bình dân",4000B4_folk.mp3
melt,"tan chảy, tan ra, chảy ra",4000B4_melt.mp3
patch,miếng vá,4000B4_patch.mp3
pleasure,"niềm vui thích,điều khoái trá",4000B4_pleasure.mp3
pop,"tiếng nổ bốp, tiếng nổ lốp bốp",4000B4_pop.mp3
pudding,"bánh putđinh, dồi lợn",4000B4_pudding.mp3
rail,"tay vịn, lan can, thành (tàu...), đường ray tàu hỏa",4000B4_rail.mp3
recipe,"công thức (bánh, món ăn, thuốc pha chế)",4000B4_recipe.mp3
role,vai trò,4000B4_role.mp3
shrink,"co lại, rút lại, ngắn lại; co vào, rút vào",4000B4_shrink.mp3
soak,"ngâm, nhúng",4000B4_soak.mp3
spark,"tia lửa, tia sáng; tàn lửa",4000B4_spark.mp3
spirit,"linh hồn, tâm hồn, tinh thần",4000B4_spirit.mp3
suit,bộ com lê;bộ quần áo (áo + quần hoặc áo + váy),4000B4_suit.mp3
account,"tài khoản, kế toán",4000B4_account.mp3
architect,kiến trúc sư,4000B4_architect.mp3
conceal,"giấu, che đậy",4000B4_conceal.mp3
crime,"tội ác, tội lỗi",4000B4_crime.mp3
deed,"chứng thư, văn bản pháp lý",4000B4_deed.mp3
gratitude,"lòng biết ơn, sự nhớ ơn",4000B4_gratitude.mp3
habitat,"nơi sống (của cây cối động vật);nhà, chỗ ở (người)",4000B4_habitat.mp3
intervene,can thiệp,4000B4_intervene.mp3
landmark,"mốc, cột mốc",4000B4_landmark.mp3
legal,"hợp pháp, theo pháp luật",4000B4_legal.mp3
memorable,đáng nhớ,4000B4_memorable.mp3
oblige,"bắt buộc, cưỡng bách",4000B4_oblige.mp3
offence,"sự phạm tội; tội, lỗi",4000B4_offence.mp3
proclaim,"công bố, tuyên bố",4000B4_proclaim.mp3
rally,"đại hội,sự tập hợp lại",4000B4_rally.mp3
resolve,"giải quyết (khó khăn, vấn đề, mối nghi ngờ...)",4000B4_resolve.mp3
resource,nguồn tài nguyên,4000B4_resource.mp3
sentence,sự tuyên án; án;(ngôn ngữ học) câu,4000B4_sentence.mp3
volunteer,tình nguyện,4000B4_volunteer.mp3
witness,nhân chứng,4000B4_witness.mp3
access,"truy cập, sự cho vào",4000B4_access.mp3
conduct,"cách cư xử,tư cách, đạo đứcsự chỉ đạo, sự điều khiển, sự hướng dẫn",4000B4_conduct.mp3
constant,"không ngớt, liên miên, liên tiếp",4000B4_constant.mp3
crack,vết nứt,4000B4_crack.mp3
device,"dụng cụ, thiết bị (nhỏ)",4000B4_device.mp3
enclose,"vây quanh, rào quanh",4000B4_enclose.mp3
grip,"ôm chặt, kẹp chặt, nắm chặt",4000B4_grip.mp3
halt,"ngừng, dừng,ngập ngừng, lưỡng lự, do dự",4000B4_halt.mp3
impending,"sắp xảy đến, xảy đến trước mắt",4000B4_impending.mp3
influence,"ảnh hưởng,tác động",4000B4_influence.mp3
law,"luật, phép tắc, điều lệ",4000B4_law.mp3
mode,"chế độ, cách, kiểu, phương thức, thời trang",4000B4_mode.mp3
perspire,"đổ mồ hôi, toát mồ hôi",4000B4_perspire.mp3
replace,thay thế,4000B4_replace.mp3
snap,"bẻ gãy, chụp nhanh (ảnh)",4000B4_snap.mp3
sly,"adj : ranh mãnh, láu cá",4000B4_sly.mp3
tend,"có khuynh hướng, hướng tới, nhắm tới, dự định",4000B4_tend.mp3
valid,"vững chắc, có căn cứ(pháp lý) có giá trị, có hiệu lực; hợp lệ",4000B4_valid.mp3
version,"phiên bản, bản dịch",4000B4_version.mp3
whatsoever,"nào, dù thế nào, dù gì",4000B4_whatsoever.mp3
alongside,"sát cạnh, kế bên, dọc theo",4000B4_alongside.mp3
appetite,"sự ngon miệng, sự thèm ăn",4000B4_appetite.mp3
assist,"giúp, giúp đỡ",4000B4_assist.mp3
breeze,gió nhẹ,4000B4_breeze.mp3
defy,"không tuân theo,coi thường,thách thức",4000B4_defy.mp3
display,"trưng bày, phô ra, hiển thị",4000B4_display.mp3
efficient,"có hiệu suất cao,có năng suất cao(máy...)",4000B4_efficient.mp3
feeble,"yếu, mỏng mảnh, dễ gãy",4000B4_feeble.mp3
forgive,tha thứ,4000B4_forgive.mp3
lively,"hoạt bát hăng hái, năng nổ, sôi nổi",4000B4_lively.mp3
majestic,"nguy nga, tráng lệ",4000B4_majestic.mp3
nor,"mà... cũng không, và... không",4000B4_nor.mp3
outraged,"mắng nhiếc, sỉ nhục",4000B4_outraged.mp3
pessimistic,"bi quan, yếm thế",4000B4_pessimistic.mp3
rumor,tin đồn,4000B4_rumor.mp3
slap,"tát, vả; cái tát",4000B4_slap.mp3
smash,"phá, phá tan, đập tan",4000B4_smash.mp3
subject,chủ đề; vấn đề,4000B4_subject4.mp3
wage,"tiền lương, tiền công",4000B4_wage.mp3
whereas,"nhưng trái lại, trong khi mà, còn",4000B4_whereas.mp3
animate,"có sinh khí, có sức sống",4000B4_animate.mp3
classify,phân loại,4000B4_classify.mp3
concede,"nhận, thừa nhận",4000B4_concede.mp3
concept,"khái niệm, ý tưởng",4000B4_concept.mp3
construct,"làm, xây dựng (nhà cửa...)",4000B4_construct.mp3
decade,thập kỷ (10 năm),4000B4_decade.mp3
diagram,biểu đồ,4000B4_diagram.mp3
ferry,"phà, bến phà",4000B4_ferry.mp3
handy,"thuận tiện, dễ cầm, dễ sử dụng",4000B4_handy.mp3
isolate,"cách ly, cô lập",4000B4_isolate.mp3
longing,"khát khao, ham muốn",4000B4_longing.mp3
numerous,"đông, đông đảo, nhiều",4000B4_numerous.mp3
particle,"chút, tí chút",4000B4_particle.mp3
plea,sự cầu xin,4000B4_plea.mp3
refrain,"cố nhịn, cố nín, kiềm chế",4000B4_refrain.mp3
review,"sự xem lại, sự xem xét lại",4000B4_review.mp3
sophisticated,"thạo đời, sành điệu, tối tân",4000B4_sophisticated.mp3
surrender,"giao lại, dâng, nộp (thành trì... để đầu hàng), bỏ, từ bỏ",4000B4_surrender.mp3
upright,"đứng thẳng; đứng, thẳng đứng",4000B4_upright.mp3
worthwhile,"quan trọng,đáng giá; bõ công",4000B4_worthwhile.mp3
alliance,"sự liên minh, khối liên minh khối đồng minh",4000B4_alliance.mp3
applause,tiếng vỗ tay khen ngợi; sự tán thưởng,4000B4_applause.mp3
armed,vũ trang,4000B4_armed.mp3
authoritative,"có căn cứ đích xác, có am hiểu tường tận, có thể tin được",4000B4_authoritative.mp3
ceremony,"lễ, nghi lễ, nghi thức",4000B4_ceremony.mp3
culture,văn hóa,4000B4_culture.mp3
defense,"phòng ngự, bảo vệ",4000B4_defense.mp3
detail,"chi tiết, tiểu tiết; điều tỉ mỉ, điều vụn vặt",4000B4_detail.mp3
diverse,đa dạng,4000B4_diverse.mp3
enchant,"bỏ bùa mê ((nghĩa đen)  (nghĩa bóng))làm say mê, làm vui thích",4000B4_enchant.mp3
equip,trang bị (cho ai... cái gì),4000B4_equip.mp3
exception,ngoại lệ,4000B4_exception.mp3
genre,"loại, thể loại",4000B4_genre.mp3
impact,"tác động, ảnh hưởng (nounverb)",4000B4_impact.mp3
lure,"nhử, nhử mồi, dỗ dành, quyến rũ",4000B4_lure.mp3
obstacle,"chướng ngại vật, sự trở ngại",4000B4_obstacle.mp3
shelter,"chỗ trú, chỗ núp, chỗ nương tựa",4000B4_shelter.mp3
sort,"sắp xếp, phân loại",4000B4_sort4.mp3
supply,"cung cấp, tiếp tế,đáp ứng (nhu cầu...)",4000B4_supply.mp3
vain,"phù phiếm, hão huyền, vô ích",4000B4_vain.mp3
alternative,"cách khác, sự lựa chọn khác",4000B4_alternative.mp3
avenue,đại lộ,4000B4_avenue.mp3
belly,bụng; dạ dày,4000B4_belly.mp3
bid,"sự tranh cử, sự đặt giá,sự dự thầu",4000B4_bid.mp3
blow,"thổi, hà hơi vào",4000B4_blow.mp3
conflict,"sự xung đột, sự tranh giành, sự va chạm",4000B4_conflict.mp3
continent,lục địa,4000B4_continent.mp3
current,"dòng (nước); luồng (gió, không khí); (điện học) dòng điện",4000B4_current.mp3
disrespect,"sự bất kính, sự vô lễ",4000B4_disrespect.mp3
enthusiasm,"sự hăng hái, sự nhiệt tình",4000B4_enthusiasm.mp3
harsh,khắc nghiệt,4000B4_harsh.mp3
lean,"dựa, tựa, chống",4000B4_lean.mp3
meantime,"trong lúc ấy, trong khi ấy",4000B4_meantime.mp3
mischief,"trò tinh nghịch, trò tinh quái, trò láu cá",4000B4_mischief.mp3
muscle,"cơ, bắp thịt",4000B4_muscle.mp3
rescue,"cứu, cứu thoát, cứu nguy",4000B4_rescue.mp3
succession,sự kế tiếp; sự liên tiếp,4000B4_succession.mp3
terrain,địa hình,4000B4_terrain.mp3
timid,"rụt rè, nhút nhát, bẽn lẽn, e lệ",4000B4_timid.mp3
violence,bạo lực,4000B4_violence.mp3
affect,"ảnh hưởng, tác động đến",4000B4_affect.mp3
autograph,chữ viết tay (của một người); chữ ký riêng,4000B4_autograph.mp3
bead,"giọt, hạt",4000B4_bead.mp3
brew,"pha (tra, cà phê)",4000B4_brew.mp3
charm,"làm vui thích, làm vui sướng,làm mê hoặc,quyến rũ",4000B4_charm.mp3
destiny,"số phận, định mệnh",4000B4_destiny.mp3
horn,còi (ô tô...),4000B4_horn.mp3
irritable,dễ cáu; cáu kỉnh,4000B4_irritable.mp3
lag,"đi chậm phía sau, đi chậm chạp, tụt lại sau",4000B4_lag.mp3
maximize,tối đa hóa,4000B4_maximize.mp3
nightmare,ác mộng,4000B4_nightmare.mp3
nutritious,"bổ, giàu dinh dưỡng, bổ dưỡng",4000B4_nutritious.mp3
protein,(hoá học) Protein,4000B4_protein.mp3
signature,chữ ký,4000B4_signature.mp3
stuff,"thứ (đồ đạc), món (đồ đạc)",4000B4_stuff.mp3
subconscious,(thuộc) tiềm thức,4000B4_subconscious.mp3
van,"xe tải có thùng hàng kín, xe tải van",4000B4_van.mp3
warn,cảnh báo,4000B4_warn.mp3
workout,"(thể dục,thể thao) buổi luyện tập",4000B4_workout.mp3
zoom,"chạy vọt qua (ô tô), bay vọt lên (máy bay), phóng to (ảnh)",4000B4_zoom.mp3
brick,viên gạch,4000B4_brick.mp3
crumble,"sụp đổ, đổ nát, vỡ vụn",4000B4_crumble.mp3
dough,"bột nhào,bột nhão",4000B4_dough.mp3
express,"biểu lộ, bày tỏ (tình cảm...)",4000B4_express.mp3
fist,"nắm tay, quả đấm",4000B4_fist.mp3
flexible,"dẻo, mềm dẻo, dễ uốn, linh hoạt",4000B4_flexible.mp3
flush,làm đỏ bừng (mặt),4000B4_flush.mp3
injure,"làm tổn thương, làm bị thương, làm hại",4000B4_injure.mp3
lump,"cục, tảng, miếng",4000B4_lump.mp3
mixture,"sự pha trộn, sự hỗn hợp",4000B4_mixture.mp3
reconcile,"hoà giải, giảng hoà",4000B4_reconcile.mp3
ruin,"làm hỏng, phá hủy",4000B4_ruin.mp3
shatter,làm vỡ vụn,4000B4_shatter.mp3
shutter,"cửa chớp, cánh cửa chớp,(nhiếp ảnh) cửa chập",4000B4_shutter.mp3
sift,"giần, sàng, rây (lọc lấy bột mịn)",4000B4_sift.mp3
slight,"nhẹ, qua loa, sơ sài; không đang kể",4000B4_slight.mp3
sparkle,"lấp lánh (chớp sáng, nhấp nháy)",4000B4_sparkle.mp3
sprinkle,"tưới, rải, rắc",4000B4_sprinkle.mp3
stale,"khô cứng,chớm hỏng (thịt, trứng...)",4000B4_stale.mp3
utter,"thốt ra, phát ra,nói ra",4000B4_utter.mp3
although,"dẫu cho, mặc dù",4000B4_although.mp3
apply,"ứng dụng, áp dụng,gắn vào, áp vào",4000B4_apply.mp3
await,"đợi, chờ đợi",4000B4_await.mp3
beloved,"được yêu mến, được yêu quý; người yêu dấu",4000B4_beloved.mp3
bury,chôn cất; mai táng,4000B4_bury.mp3
climate,khí hậu,4000B4_climate.mp3
complain,"phàn nàn, kêu ca",4000B4_complain.mp3
confuse,"làm lẫn lộn, làm nhầm lẫn",4000B4_confuse.mp3
due,"đến kỳ, đến hạn, phải trả (nợ...)",4000B4_due.mp3
entire,"toàn bộ, toàn thể, toàn vẹn, hoàn toàn",4000B4_entire.mp3
establish,"thành lập, thiết lập",4000B4_establish.mp3
furnace,"lò (luyện kim, nấu thuỷ tinh...), lò sưởi",4000B4_furnace.mp3
leash,"dây buộc chó, xích chó",4000B4_leash.mp3
mature,trưởng thành,4000B4_mature.mp3
measure,đo lường,4000B4_measure.mp3
midst,noun : giữa,4000B4_midst.mp3
misery,"sự đau đớn, khổ sở",4000B4_misery.mp3
prior,"trước, trước khi",4000B4_prior.mp3
research,"nghiên cứu, sự nghiên cứu",4000B4_research.mp3
variety,"sự đa dạng, nhiều thứ",4000B4_variety.mp3
altogether,hoàn toàn,4000B4_altogether.mp3
bind,kết lại với nhau,4000B4_bind.mp3
bruise,"vết thâm tím (trên người), vết thâm (trên hoa quả)",4000B4_bruise.mp3
custom,"phong tục, tục lệ, bạn hàng, mối hàng hải quan",4000B4_custom.mp3
disobedient,"không vâng lời, không tuân lệnh",4000B4_disobedient.mp3
foresee,"đoán trước, biết trước,dự kiến trước",4000B4_foresee.mp3
glimpse,"nhìn lướt qua, nhìn thoáng qua, liếc nhìn",4000B4_glimpse.mp3
hoop,"cái vòng,cái vành, cái đai (bằng thép, gỗ, nhựa... ở các thùng ống...)",4000B4_hoop.mp3
misfortune,"sự rủi ro, sự bất hạnh,điều không may",4000B4_misfortune.mp3
negative,"phủ định, phủ nhận, thiếu tích cực",4000B4_negative.mp3
per,mỗi,4000B4_per.mp3
plead,"cầu xin, nài xin",4000B4_plead.mp3
rip,"xé, xé toạc ra, bóc toạc ra",4000B4_rip.mp3
sake,"mục đích, lợi ích",4000B4_sake.mp3
scrape,"cạo, nạo, gọt, gạt, vétcọ xát, chà xát",4000B4_scrape.mp3
source,"nguồn, nguồn gốc",4000B4_source.mp3
stern,"nghiêm khắc, nghiêm nghị",4000B4_stern.mp3
stitch,"khâu, may",4000B4_stitch.mp3
thump,"tiếng động, tiếng va chạm",4000B4_thump.mp3
vehement,"giận dữ, nổi giận",4000B4_vehement.mp3
civilization,nền văn minh,4000B4_civilization.mp3
convenient,"thuận tiện, thích hợp",4000B4_convenient.mp3
den,hang (thú dữ); sào huyệt (của bọn cướp),4000B4_den.mp3
dew,"sương, giọt sương",4000B4_dew.mp3
drastic,"mạnh mẽ, quyết liệt",4000B4_drastic.mp3
exit,"đi ra, rời đi, lối ra",4000B4_exit.mp3
flock,"đàn, bầy (thú, chim)",4000B4_flock.mp3
fold,"gấp, gập; vén, xắn",4000B4_fold.mp3
lid,"nắp, vung",4000B4_lid.mp3
loom,"hiện ra lờ mờ (ở đằng xa, trong màn sương...)",4000B4_loom.mp3
mighty,"to lớn, vĩ đại, hùng vĩ, đồ sộ",4000B4_mighty.mp3
mushroom,"nấm, cây nấm",4000B4_mushroom.mp3
native,"(thuộc) nơi sinh,(thuộc) địa phương,tự nhiên (kim loại, khoáng chất)",4000B4_native.mp3
poison,"chất độc, thuốc độc",4000B4_poison.mp3
reed,(thực vật học) cây sậy,4000B4_reed.mp3
shield,"che, chắn",4000B4_shield.mp3
stormy,"báo bão,sóng gió,ào ạt, sôi nổi",4000B4_stormy.mp3
sway,"đu đưa, lắc lư",4000B4_sway.mp3
urban,"thuộc) thành phố, (thuộc) thành thị",4000B4_urban.mp3
wade,"lội, lội qua",4000B4_wade.mp3
accent,"giọng, giọng nói",4000B4_accent.mp3
barber,"thợ cạo, thợ cắt tóc",4000B4_barber.mp3
basement,"tầng hầm,nền móng",4000B4_basement.mp3
blank,"trống rỗng,để trống, để trắng (tờ giấy...)",4000B4_blank.mp3
blink,"nháy mắt, chớp mắt,cái nháy mắt, cái chớp mắt",4000B4_blink.mp3
choir,"đội hợp xướng, đội hợp ca",4000B4_choir.mp3
comic,"hài hước, khôi hài",4000B4_comic.mp3
complicate,"làm phức tạp, làm rắc rối, gây khó khăn",4000B4_complicate.mp3
decline,"từ chối, khước từ,suy dần (sức khoẻ); sụt xuống (giá cả...)",4000B4_decline.mp3
errand,"việc vặt (đưa thư, mua thuốc lá...)",4000B4_errand.mp3
glove,"găng tay, bao tay",4000B4_glove.mp3
hermit,"người ẩn dật,nhà tu khổ hạnh",4000B4_hermit.mp3
justly,một cách công bằng; một cách ngay thẳng,4000B4_justly.mp3
leather,"đồ da, da thuộc",4000B4_leather.mp3
ponder,suy nghĩ; cân nhắc,4000B4_ponder.mp3
reserve,"đặt trước, giữ trước",4000B4_reserve.mp3
script,lời thoại,4000B4_script.mp3
search,"tìm kiếm, nhìn để tìm",4000B4_search.mp3
slam,"đóng sầm (cửa, sách),ném phịch (vật gì, xuống bàn...)",4000B4_slam.mp3
staircase,cầu thang,4000B4_staircase.mp3
afflicted,"làm đau đớn, làm khổ sở",4000B4_afflicted.mp3
aisle,lối đi,4000B4_aisle.mp3
atmosphere,khí quyển,4000B4_atmosphere.mp3
author,tác giả,4000B4_author.mp3
breakdown,"sự hỏng máy (ô tô, xe lửa)",4000B4_breakdown.mp3
cargo,hàng hóa,4000B4_cargo.mp3
chapter,"chương (sách),đề tài, vấn đề",4000B4_chapter.mp3
connect,"kết nối, nối lại",4000B4_connect.mp3
etc.,vân vân,4000B4_etc.mp3
flip,"bật, gạt (công tắc)",4000B4_flip.mp3
idle,"ngồi rồi, không làm việc gì",4000B4_idle.mp3
notify,"thông báo, khai báo, cho biết",4000B4_notify.mp3
pea,(thực vật học) đậu Hà-lan,4000B4_pea.mp3
raisin,nho khô,4000B4_raisin.mp3
retain,"vẫn giữ, vẫn duy trì",4000B4_retain.mp3
state,"phát biểu, nói rõ, tuyên bố",4000B4_state.mp3
tray,"khay, mâm",4000B4_tray.mp3
unfortunate,"không may, rủi ro, bất hạnh",4000B4_unfortunate.mp3
vivid,"chói lọi, sặc sỡ (màu sắc, ánh sáng)",4000B4_vivid.mp3
vomit,"nôn, mửa,phun ra, tuôn ra",4000B4_vomit.mp3
betray,phản bội; phụ bạc,4000B4_betray.mp3
blast,"tiếng nổ, sự nổ",4000B4_blast.mp3
bracelet,"vòng tay, xuyến",4000B4_bracelet.mp3
cease,"dừng, ngừng, ngớt, thôi, hết, tạnh",4000B4_cease.mp3
choke,"nghẹt thở, ngạt thở, tắc (tức) thở",4000B4_choke.mp3
civil,"(thuộc) công dân,(thuộc) bên trong đất nước",4000B4_civil.mp3
comment,"bình luận,chú thích,phê bình",4000B4_comment.mp3
cross,"qua, đi qua, băng qua",4000B4_cross.mp3
dent,vết lõm,4000B4_dent.mp3
distrust,"không tin tưởng, ngờ vực",4000B4_distrust.mp3
fort,pháo đài,4000B4_fort.mp3
found,"thành lập, sáng lập, xây dựng, đặt nền móng",4000B4_found4.mp3
lining,"lớp vải lót (áo, mũ)",4000B4_lining.mp3
mass,"khối, đống,(vật lý) khối lượng",4000B4_mass.mp3
pray,"cầu nguyện,khẩn cầu, cầu xin",4000B4_pray.mp3
rife,"hoành hành,lan tràn",4000B4_rife.mp3
sole,"duy nhất, độc nhất",4000B4_sole.mp3
sweep,quét; vét,4000B4_sweep.mp3
treachery,"sự phản bội, sự phụ bạc, sự bội bạc",4000B4_treachery.mp3
tuck,"đút vào, nhét vào, bỏ vào,gấp nếp, gấp lên (quần áo..., cho ngắn bớt)",4000B4_tuck.mp3
background,"nền tảng (giáo dục, gia đình....)",4000B4_background.mp3
bait,"mồi, bả ((nghĩa đen)  (nghĩa bóng))",4000B4_bait.mp3
chronicle,ghi chép (những sự kiện...),4000B4_chronicle.mp3
copper,đồng (kim loại),4000B4_copper.mp3
disease,"bệnh, bệnh tật",4000B4_disease.mp3
folklore,văn học dân gian; truyền thống dân gian,4000B4_folklore.mp3
infect,"nhiễm, lây nhiễm",4000B4_infect.mp3
itch,ngứa,4000B4_itch.mp3
literature,văn học,4000B4_literature.mp3
millennium,thiên niên kỷ,4000B4_millennium.mp3
myth,thần thoại,4000B4_myth.mp3
promote,"thăng chức, thăng cấp, đề bạt",4000B4_promote.mp3
relate,"liên quan, liên hệ, liên kết",4000B4_relate.mp3
religion,"tôn giáo, đạo; sự tín ngưỡng, sự tu hành",4000B4_religion.mp3
sum,"cộng, cộng lại",4000B4_sum.mp3
teller,giao dịch viên ngân hàng,4000B4_teller.mp3
trustworthy,đáng tin cậy,4000B4_trustworthy.mp3
update,cập nhật,4000B4_update.mp3
vein,"(giải phẫu) tĩnh mạch, ven;(thực vật học) gân lá;vân (đá, gỗ)",4000B4_vein.mp3
venom,nọc độc,4000B4_venom.mp3
charity,"lòng từ thiện; lòng thảo,hội từ thiện; tổ chức cứu tế",4000B4_charity.mp3
commerce,sự buôn bán; thương mại; thương nghiệp,4000B4_commerce.mp3
condemn,"kết án, kết tội, xử, xử phạt",4000B4_condemn.mp3
cozy,"ấm cúng, thoải mái dễ chịu",4000B4_cozy.mp3
deplete,"tháo hết ra, xả hết ra; làm rỗng không",4000B4_deplete.mp3
economy,nền kinh tế,4000B4_economy.mp3
