Word,Meaning,Audio
embryo,"phôi, thai nhi",4000B6_embryo.mp3
fend,"đẩy lui, đẩy xa",4000B6_fend.mp3
fictitious,"hư cấu, tưởng tượng, không có thực",4000B6_fictitious.mp3
gazette,"công báo, nhật báo",4000B6_gazette.mp3
homogeneous,"đồng nhất, đồng đều, thuần nhất",4000B6_homogeneous.mp3
obstruct,"làm tắc nghẽn, cản trở, gây trở ngại",4000B6_obstruct.mp3
plunge,"lao xuống, đâm sâu vào, lao vào",4000B6_plunge.mp3
prolong,kéo dài; nối dài; gia hạn,4000B6_prolong.mp3
publicize,"quảng cáo, (đưa ra)công khai",4000B6_publicize.mp3
sparse,"thưa thớt, rải rác, lơ thơ",4000B6_sparse.mp3
surplus,"số dư, số thừa, thặng dư",4000B6_surplus.mp3
theorize,"tạo ra lý thuyết về,nói lý luận",4000B6_theorize.mp3
verify,"thẩm tra, kiểm tra lại",4000B6_verify.mp3
vigorous,"mạnh mẽ, mãnh liệt",4000B6_vigorous.mp3
altar,"bàn thờ, bệ thờ, án thờ",4000B6_altar.mp3
arthritis,(y học) viêm khớp,4000B6_arthritis.mp3
botany,thực vật học,4000B6_botany.mp3
credible,"đáng tin, tin cậy được",4000B6_credible.mp3
deceased,"đã chết, đã qua đời",4000B6_deceased.mp3
deception,"sự dối trá, sự lừa gạt",4000B6_deception.mp3
decipher,"giải (mã), giải đoán (chữ khó xem, chữ viết xấu, chữ cổ...)",4000B6_decipher.mp3
dung,phân thú vật (ít khi nói về người),4000B6_dung.mp3
dusk,"bóng tối, lúc chạng vạng",4000B6_dusk.mp3
gratify,"làm hài lòng, làm vừa lòng",4000B6_gratify.mp3
hone,"mài giũa, rèn giũa",4000B6_hone.mp3
mash,"nghiền, bóp nát",4000B6_mash.mp3
ornate,"hoa mỹ,trang trí công phu",4000B6_ornate.mp3
pneumonia,(y học) viêm phổi,4000B6_pneumonia.mp3
psychic,bà đồng; ông đồng,4000B6_psychic.mp3
psychotic,loạn tinh thần,4000B6_psychotic.mp3
scope,"phạm vi, tầm xa (kiến thức)",4000B6_scope.mp3
sinister,"nham hiểm,độc ác, hung hãn",4000B6_sinister.mp3
strife,sự xung đột,4000B6_strife.mp3
therapeutic,(y học) (thuộc) phép chữa bệnh,4000B6_therapeutic.mp3
congested,"chật ních, đông nghịt",4000B6_congested.mp3
courier,"người đưa thư, người đưa tin tức",4000B6_courier.mp3
deform,"làm cho méo mó, làm biến dạng",4000B6_deform.mp3
etiquette,"phép xã giao,nghi lễ, nghi thức",4000B6_etiquette.mp3
exclusive,"dành riêng (câu lạc bộ, cửa hàng...), độc quyền",4000B6_exclusive.mp3
freight,"việc chuyên chở hàng,tiền cước chuyên chở",4000B6_freight.mp3
garment,áo quần,4000B6_garment.mp3
insomnia,(y học) chứng mất ngủ,4000B6_insomnia.mp3
intuitive,(thuộc) trực giác,4000B6_intuitive.mp3
liable,"có khả năng, có thể (xảy ra)",4000B6_liable.mp3
obsess,ám ảnh,4000B6_obsess.mp3
overboard,"xuống biển, qua mạn tàu",4000B6_overboard.mp3
premium,phần thêm vào,4000B6_premium.mp3
privilege,"đặc quyền, đặc ân",4000B6_privilege.mp3
propel,"đẩy đi, đẩy tới ((nghĩa đen)  (nghĩa bóng))",4000B6_propel.mp3
socialize,xã hội hoá,4000B6_socialize.mp3
suppress,"chặn (bệnh); triệt (tiếng ồn), kìm lại, kiềm chế",4000B6_suppress.mp3
tram,xe bus điện,4000B6_tram.mp3
unsettle,"làm lung lay, làm rối loạn; phá rối",4000B6_unsettle.mp3
warp,"làm cong, làm oằn",4000B6_warp.mp3
artery,động mạch,4000B6_artery.mp3
deterioration,"sự làm hư hỏng,sự làm giảm giá trị",4000B6_deterioration.mp3
elusive,hay lảng tránh,4000B6_elusive.mp3
forage,"lục lọi ra, tìm tòi ra (thức ăn)",4000B6_forage.mp3
impede,"ngăn cản, cản trở",4000B6_impede.mp3
induce,"gây ra,xui khiến",4000B6_induce.mp3
inseparable,"không thể tách rời,không thể chia lìa",4000B6_inseparable.mp3
invalid,"không có hiệu lực, không có căn cứ",4000B6_invalid.mp3
magnify,"phóng to,thổi phồng",4000B6_magnify.mp3
mainstream,xu thế chủ đạo,4000B6_mainstream.mp3
microbe,"vi trùng, vi khuẩn",4000B6_microbe.mp3
negligible,không đáng kể,4000B6_negligible.mp3
paralysis,chứng liệt,4000B6_paralysis.mp3
pest,"người làm hại, vật làm hại",4000B6_pest.mp3
prevail,"thắng thế, chiếm ưu thế",4000B6_prevail.mp3
respiration,sự hà hơi,4000B6_respiration.mp3
rupture,"vỡ, đứt, gãy, nứt, rách",4000B6_rupture.mp3
savage,"hoang dại, dữ dằn",4000B6_savage.mp3
stun,"làm sửng sốt, làm kinh ngạc",4000B6_stun.mp3
susceptible,dễ bị; dễ mắc,4000B6_susceptible.mp3
accumulate,"chất đống, chồng chất",4000B6_accumulate.mp3
aerial,"ở trên trời, trên không",4000B6_aerial.mp3
apparatus,đồ thiết bị; máy móc,4000B6_apparatus.mp3
avalanche,tuyết lở,4000B6_avalanche.mp3
consistency,"tính nhất quán,kiên định",4000B6_consistency.mp3
convection,sự đối lưu,4000B6_convection.mp3
discharge,"dỡ (hàng),tha, thả (người tù); cho ra, cho về (người bệnh)",4000B6_discharge.mp3
intact,"không sứt mẻ, còn trinh",4000B6_intact.mp3
mortal,"chết, có chết",4000B6_mortal.mp3
omen,điềm,4000B6_omen.mp3
overcast,"âm u, tối sầm",4000B6_overcast.mp3
poignant,"thương tâm, chua cay",4000B6_poignant.mp3
ranger,"người bảo vệ rừng, nhân viên lâm nghiệpngười hay đi lang thang",4000B6_ranger.mp3
rubble,"đá vụn, gỗ vụn, gạch vụn",4000B6_rubble.mp3
seclude,"cô lập, tách biệt, tách ra xa",4000B6_seclude.mp3
sideways,"qua một bên, về một bên",4000B6_sideways.mp3
sob,gào khóc,4000B6_sob.mp3
sober,"điềm tĩnh, điềm đạm",4000B6_sober.mp3
speck,"đốm, vết, dấu",4000B6_speck.mp3
upbringing,"sự giáo dục, sự dạy dỗ",4000B6_upbringing.mp3
advocate,"tán thành, ủng hộ,biện hộ, bào chữa",4000B6_advocate.mp3
authorize,"cho quyền, uỷ quyền, cho phép",4000B6_authorize.mp3
civilian,"người thường, thường dân",4000B6_civilian.mp3
commodity,"hàng hoá; loại hàng, mặt hàng",4000B6_commodity.mp3
conquest,"sự xâm chiếm, sự chinh phục",4000B6_conquest.mp3
disclose,"tiết lộ,mở ra",4000B6_disclose.mp3
dynamics,động lực học,4000B6_dynamics.mp3
enroll,"ghi danh, đăng ký",4000B6_enroll.mp3
envious,"ghen tị, đố kỵ",4000B6_envious.mp3
euphoria,phởn phơ,4000B6_euphoria.mp3
festive,"thuộc ngày lễ, thuộc ngày hội",4000B6_festive.mp3
jolly,"vui vẻ, vui tươi, vui nhộn",4000B6_jolly.mp3
lentil,(thực vật học) đậu lăng,4000B6_lentil.mp3
marshal,sắp đặt vào hàng ngũ; sắp xếp theo thứ tự,4000B6_marshal.mp3
morale,"tinh thần, chí khí, nhuệ khí",4000B6_morale.mp3
prophecy,"lời đoán trước, lời tiên tri",4000B6_prophecy.mp3
sage,"nhà hiền triết, người thông thái",4000B6_sage.mp3
senate,thượng nghị viện,4000B6_senate.mp3
sentiment,"cảm nghĩ, ý kiến",4000B6_sentiment.mp3
unrest,"tình trạng náo động,tình trạng không yên ổn",4000B6_unrest.mp3
adorn,"tô điểm, trang điểm; trang trí, trang hoàng",4000B6_adorn.mp3
bliss,hạnh phúc; niềm vui sướng nhất,4000B6_bliss.mp3
butler,quản gia,4000B6_butler.mp3
cramp,(y học) chứng ruột rút,4000B6_cramp.mp3
dilapidated,"đổ nát, xiêu vẹo, ọp ẹp (nhà)",4000B6_dilapidated.mp3
evoke,"gợi lên (ký ức, tình cảm...),gọi lên (hồn...)",4000B6_evoke.mp3
farewell,lời tạm biệt,4000B6_farewell.mp3
faucet,"vòi (ở bồn nước, thùng rượu...)",4000B6_faucet.mp3
filth,"rác rưởi, rác bẩn",4000B6_filth.mp3
flaw,"vết nứt, chỗ rạn",4000B6_flaw.mp3
grin,"cười toe toét, nhe răng ra cười",4000B6_grin.mp3
housekeeping,"việc nội trợ (nhà ở), việc dọn phòng (khách sạn)",4000B6_housekeeping.mp3
mound,"đống, ụ, mô, gò",4000B6_mound.mp3
numb,"tê, tê cóng",4000B6_numb.mp3
reckless,"thiếu thận trọng, khinh suất",4000B6_reckless.mp3
slate,"đá bảng, đá đen",4000B6_slate.mp3
stool,"ghế đẩu, ghế không có tựa lưng",4000B6_stool.mp3
testament,"bằng chứng, sự chứng minh",4000B6_testament.mp3
timber,"gỗ làm nhà, gỗ kiến trúc",4000B6_timber.mp3
valve,van,4000B6_valve.mp3
certify,"chứng nhận, chứng thực",4000B6_certify.mp3
collaborate,"cộng tác, hợp tác",4000B6_collaborate.mp3
compile,biên soạn,4000B6_compile.mp3
counteract,"chống lại, kháng cự lại (bệnh tật, chất độc...)",4000B6_counteract.mp3
curb,"kiềm chế, nén lại; hạn chế",4000B6_curb.mp3
diagnose,chẩn đoán,4000B6_diagnose.mp3
enact,ban hành (đạo luật),4000B6_enact.mp3
federation,"liên bang, liên đoàn",4000B6_federation.mp3
gross,"nặng mùi, bẩn tưởi",4000B6_gross.mp3
humane,"nhân đức, nhân văn",4000B6_humane.mp3
intolerable,"không thể chịu đựng nổi, quá quắt",4000B6_intolerable.mp3
needy,nghèo túng,4000B6_needy.mp3
onset,lúc bắt đầu,4000B6_onset.mp3
pledge,"hứa, cam kết, nguyện",4000B6_pledge.mp3
prohibit,"ngăn cấm, cấm chỉ",4000B6_prohibit.mp3
rash,(y học) chứng phát ban,4000B6_rash.mp3
render,dịch,4000B6_render.mp3
smallpox,(y học) bệnh đậu mùa,4000B6_smallpox.mp3
transmit,"truyền (tin, tín hiệu), chuyển (thư)",4000B6_transmit.mp3
vow,"thề, nguyện",4000B6_vow.mp3
camouflage,"vật (để) nguỵ trang,sự nguỵ trang",4000B6_camouflage.mp3
contemplate,"dự tính, dự định, liệu trước",4000B6_contemplate.mp3
contend,"chiến đấu, vật lộn, tranh giành",4000B6_contend.mp3
cot,"lều, giường nhỏ, võng",4000B6_cot.mp3
enlist,"tòng quân, nhập ngũ",4000B6_enlist.mp3
frontier,biên giới,4000B6_frontier.mp3
handbook,sổ tay hướng dẫn,4000B6_handbook.mp3
hesitant,lưỡng lự,4000B6_hesitant.mp3
lush,sum sê,4000B6_lush.mp3
marrow,tủy,4000B6_marrow.mp3
outfit,đồ mặc bên ngoài(quần áo giày mũ giày dép... và phụ kiện),4000B6_outfit.mp3
paw,"chân (có vuốt của mèo, hổ...)",4000B6_paw.mp3
quiver,"ngả, nghiêng, rung nhẹ",4000B6_quiver.mp3
splendid,"lộng lẫy,rực rỡ, tráng lệ, huy hoàng",4000B6_splendid.mp3
stray,"lạc đường, đi lạc",4000B6_stray.mp3
substantial,"trọng yếu, có giá trị thực sự,trường vốn",4000B6_substantial.mp3
torch,"đuốc, đèn",4000B6_torch.mp3
tract,"vùng, miền, dải",4000B6_tract.mp3
vigil,sự thức để cầu kinh,4000B6_vigil.mp3
weary,mệt lử,4000B6_weary.mp3
adhere,"tôn trọng triệt để, gắn bó",4000B6_adhere.mp3
administer,"trông nom, quản lý; cai quản",4000B6_administer.mp3
compassionate,"(thuộc về) thương xót, động lòng thương",4000B6_compassionate.mp3
contaminate,"làm bẩn, làm ô nhiễm",4000B6_contaminate.mp3
deficiency,"sự thiếu hụt, sự không đầy đủ",4000B6_deficiency.mp3
epidemic,dịch bệnh,4000B6_epidemic.mp3
hazard,mối nguy hiểm,4000B6_hazard.mp3
imperative,"cấp bách, khẩn thiết",4000B6_imperative.mp3
intestines,(giải phẫu) ruột,4000B6_intestines.mp3
manifest,"biểu lộ, biểu thị, bày tỏ, chứng tỏ",4000B6_manifest.mp3
metabolic,(thuộc) sự trao đổi chất,4000B6_metabolic.mp3
overcrowded,"chật ních, đông nghịt",4000B6_overcrowded.mp3
paramount,"tối thượng,tối cao",4000B6_paramount.mp3
practitioner,bác sĩ đang hành nghề,4000B6_practitioner.mp3
provision,"sự chuẩn bị, sự dự phòng, sự trữ sẵn",4000B6_provision.mp3
replenish,"làm đầy, bổ sung",4000B6_replenish.mp3
sterile,vô trùng,4000B6_sterile.mp3
upgrade,nâng cấp,4000B6_upgrade.mp3
viable,khả thi,4000B6_viable.mp3
voluntary,"tự nguyện, tự giác, tình nguyện",4000B6_voluntary.mp3
amid,"giữa, ở giữa",4000B6_amid.mp3
backstage,"ở sau sân khấu, ở hậu trường",4000B6_backstage.mp3
billionaire,nhà tỷ phú,4000B6_billionaire.mp3
brute,kẻ vũ phu,4000B6_brute.mp3
clumsy,"vụng về, lóng ngóng",4000B6_clumsy.mp3
collide,"va nhau, đụng nhau",4000B6_collide.mp3
culprit,thủ phạm,4000B6_culprit.mp3
evacuate,"sơ tán, tản cư",4000B6_evacuate.mp3
flammable,dễ cháy,4000B6_flammable.mp3
mob,đám đông hung hãn,4000B6_mob.mp3
premature,"sớm, non",4000B6_premature.mp3
resent,"phẫn uất, oán giận, không bằng lòng",4000B6_resent.mp3
satire,"sự châm biếm, trào phúng",4000B6_satire.mp3
scrutiny,sự kỹ lưỡng,4000B6_scrutiny.mp3
segregate,"tách riêng, chia riêng ra",4000B6_segregate.mp3
subject,"bắt buộc, yêu cầu",4000B6_subject.mp3
testify,"(pháp lý) khai, làm chứng",4000B6_testify.mp3
tumult,"sự ồn ào, sự om sòm; tiếng ồn ào",4000B6_tumult.mp3
underestimate,đánh giá thấp,4000B6_underestimate.mp3
uproar,"tiếng om sòm, tiếng ồn ào",4000B6_uproar.mp3
accelerate,tăng tốc,4000B6_accelerate.mp3
anew,"lại, một lần nữa",4000B6_anew.mp3
defect,"khuyết tật, sai sót",4000B6_defect.mp3
dreary,"ảm đạm, buồn thảm, thê lương",4000B6_dreary.mp3
duplicate,"sao chép, nhân đôi",4000B6_duplicate.mp3
electromagnetic,điện từ,4000B6_electromagnetic.mp3
electron,electron,4000B6_electron.mp3
glide,"lượn, lướt",4000B6_glide.mp3
ingenious,,4000B6_ingenious.mp3
innovation,"sáng kiến, sự cải tiến",4000B6_innovation.mp3
innovative,có tính chất đổi mới; có tính chất là một sáng kiến,4000B6_innovative.mp3
launch,"hạ thủy, mở (cuộc tấn công)",4000B6_launch.mp3
meteorological,(thuộc) thời tiết,4000B6_meteorological.mp3
meteorology,khí tượng học,4000B6_meteorology.mp3
penetrate,"xuyên qua, đâm thủng, thâm nhập",4000B6_penetrate.mp3
propulsion,"sự đẩy đi, lực đẩy",4000B6_propulsion.mp3
simulate,"bắt chước, mô phỏng",4000B6_simulate.mp3
spur,"khích lệ, khuyến khích",4000B6_spur.mp3
stimulate,kích thích,4000B6_stimulate.mp3
tenacious,"kiên trì, bền bỉ",4000B6_tenacious.mp3
beforehand,"trước (là trước, chuẩn bị trước, cảm ơn trước)",4000B6_beforehand.mp3
centigrade,độ C,4000B6_centigrade.mp3
chatter,"nói huyên thiên, nói luôn mồm",4000B6_chatter.mp3
concerto,(âm nhạc) côngxectô,4000B6_concerto.mp3
condense,ngưng tụ. cô đọng,4000B6_condense.mp3
cove,"(địa lý,địa chất) vịnh nhỏ, vũng",4000B6_cove.mp3
deteriorate,trở nên xấu hơn,4000B6_deteriorate.mp3
exterior,"bên ngoài, mặt ngoài, bề ngoài",4000B6_exterior.mp3
freeway,đường cao tốc,4000B6_freeway.mp3
hearty,"nồng nhiệt, thân mật, vui vẻ",4000B6_hearty.mp3
hospitable,(thuộc) mến khách,4000B6_hospitable.mp3
manor,"trang viên, thái ấp",4000B6_manor.mp3
monastery,tu viện,4000B6_monastery.mp3
nursery,phòng dành riêng cho trẻ nhỏ,4000B6_nursery.mp3
outstretched,"(thuộc) duỗi ra, kéo dài ra",4000B6_outstretched.mp3
parcel,"gói, bưu kiện",4000B6_parcel.mp3
profile,"sơ lược tiểu sử,nét mặt nhìn nghiêng",4000B6_profile.mp3
vivacious,hoạt bát,4000B6_vivacious.mp3
winding,"uốn khúc, quanh co (sông, đường)",4000B6_winding.mp3
zip,kéokhóa,4000B6_zip.mp3
airway,khí quản,4000B6_airway.mp3
almighty,Thượng Đế,4000B6_Almighty.mp3
advent,"sự đến, sự tới (của một sự việc gì quan trọng)",4000B6_advent.mp3
constellation,chòm sao,4000B6_constellation.mp3
definitive,"cuối cùng, tốt nhất",4000B6_definitive.mp3
equate,làm cân bằng,4000B6_equate.mp3
inhale,hít vào,4000B6_inhale.mp3
invoke,"cầu khẩn (sự giúp đỡ, sự trả thù...)",4000B6_invoke.mp3
lunar,"(thuộc) mặt trăng, âm lịch",4000B6_lunar.mp3
novelty,"tính mới, tính mới lạ, tính lạ thường",4000B6_novelty.mp3
outmoded,"lỗi mốt, cổ lỗ sĩ, lỗi thời",4000B6_outmoded.mp3
personalize,cá nhân hóa,4000B6_personalize.mp3
pertain,có liên quan đến,4000B6_pertain.mp3
primal,"(thuộc) nền tảng, căn bản, chủ yếu",4000B6_primal.mp3
psychiatric,"(thuộc) bệnh tinh thần, (thuộc) bệnh tâm thần",4000B6_psychiatric.mp3
psychiatry,"(y học) bệnh học tinh thần, bệnh học tâm thần",4000B6_psychiatry.mp3
reflex,sự phản xạ,4000B6_reflex.mp3
seizure,sự lên cơn co giật,4000B6_seizure.mp3
session,"phiên họp, kỳ họp",4000B6_session.mp3
utensil,"đồ dùng, dụng cụ (chủ yếu là đồ dùng trong gia đình)",4000B6_utensil.mp3
adhesive,keo dán,4000B6_adhesive.mp3
adverse,"bất lợi, có hại",4000B6_adverse.mp3
dependency,"vật phụ thuộc, phần phụ thuộc, sự phụ thuộc",4000B6_dependency.mp3
dump,"đổ rác, vứt bỏ",4000B6_dump.mp3
eternal,"vĩnh viễn, bất diệt",4000B6_eternal.mp3
fluctuate,"dao động, lên xuống, thay đổi bất thường",4000B6_fluctuate.mp3
fro,"lại, đi đi lại lại(dùng trong thành ngữ ""to and f__ __"")",4000B6_fro.mp3
inclusion,sự bao gồm,4000B6_inclusion.mp3
intermediate,ở giữa,4000B6_intermediate.mp3
intermittent,"gián đoạn, từng cơn, từng hồi",4000B6_intermittent.mp3
mentor,người cố vấn,4000B6_mentor.mp3
phoenix,chim phượng hoàng,4000B6_phoenix.mp3
photosynthesis,(sinh vật học) sự quang hợp,4000B6_photosynthesis.mp3
pollen,(thực vật học) phấn hoa,4000B6_pollen.mp3
regain,"hồi lại, lấy lại, gỡ lại, chiếm lại",4000B6_regain.mp3
reverse,"đảo, nghịch, ngược lại, trái lại",4000B6_reverse.mp3
swarm,"đàn, đám, bầy",4000B6_swarm.mp3
texture,"kết cấu, tổ chức, sự dệt, vải",4000B6_texture6.mp3
tickle,"cù, làm cho cười",4000B6_tickle.mp3
vibrant,rực rỡ,4000B6_vibrant.mp3
abolish,"bãi bỏ, huỷ bỏ",4000B6_abolish.mp3
amend,"sửa đổi, thay đổi (văn kiện pháp lý), cải thiện",4000B6_amend.mp3
aspire,"(+ to, after, at) thiết tha, mong mỏi, khao khát",4000B6_aspire.mp3
censor,"kiểm duyệt, cấm",4000B6_censor.mp3
charter,"hiến chương, nội quy, quy định",4000B6_charter.mp3
constitution,hiến pháp,4000B6_constitution.mp3
cosmopolitan,"(thuộc) quốc tế, toàn thế giới",4000B6_cosmopolitan.mp3
disseminate,,4000B6_disseminate.mp3
flatter,"tâng bốc, xu nịnh",4000B6_flatter.mp3
infamous,"ô nhục, bỉ ổi",4000B6_infamous.mp3
lame,"què, khập khiễng",4000B6_lame.mp3
limp,đi khập khiễng,4000B6_limp.mp3
outburst,"sự bùng nổ, sự bùng phát",4000B6_outburst.mp3
pathological,"(thuộc) bệnh học, bệnh lý",4000B6_pathological.mp3
phenomenal,"kỳ lạ, phi thường",4000B6_phenomenal.mp3
poll,cuộc thăm dò ý kiến (của nhân dân về vấn đề gì),4000B6_poll.mp3
remorse,"sự ăn năn, sự hối hận",4000B6_remorse.mp3
secrecy,"sự giấu giếm, sự bí mật, tính kín đáo",4000B6_secrecy.mp3
tackle,"xử trí;chặn, cản (đối phương đang dắt bóng...)",4000B6_tackle.mp3
trance,"trạng thái hôn mê,(tôn giáo) sự nhập định, sự xuất thần",4000B6_trance.mp3
coward,"nhát gan, hèn nhát",4000B6_coward.mp3
delete,xóa bỏ,4000B6_delete.mp3
firsthand,trực tiếp,4000B6_firsthand.mp3
earnest,trung thực,4000B6_earnest.mp3
ethnic,"thuộc dân tộc, thuộc tộc ngườikhông theo tôn giáo nào, vô thần",4000B6_ethnic.mp3
exclude,"loại ra, ngăn chặn",4000B6_exclude.mp3
fluent,"lưu loát, trôi chảy",4000B6_fluent.mp3
imperial,(thuộc) hoàng đế,4000B6_imperial.mp3
inclusive,"bao gồm tất cả, gồm cả, tính toàn bộ",4000B6_inclusive.mp3
