Word,Meaning,Audio
initiative,"(adj): bắt đầu, khởi đầu, khởi xướng; (n): bước đầu, khởi đầu;sáng kiến",INITIATIVE_1380530514437.mp3
initiate,"bắt đầu, khởi đầu, đề xướng",INITIATE_1380643440874.mp3
physically,"về thân thể/cơ thể/thể chất; theo quy luật tự nhiên, mộtcách vật lý;",speech_20180213062717543.mp3
provider,nhà cung cấp,PROVIDER.mp3
recur,"tái diễn, tái hiện",RECUR.mp3
reduction,"sự thu nhỏ, sự giảm bớt",REDUCTION_1380530514437.mp3
stay on top of,"nắm được, biết được cái gì đang diễn ra",STAY+ON+TOP+OF.mp3
stock,"dự trữ, cổ phần, cổ phiếu",STOCK_1380530514437.mp3
appreciate,"đánh giá cao, cảm kích; tăng giá trị",APPRECIATE.mp3
expose,"phơi bày, lộ ra, vạch trần, đặt vào (nguy hiểm); tiếp xúc với",EXPOSE_1380643440871.mp3
bring in,"thuê, tuyển dụng; đưa đi, bắt đi (để trình diện, hỏi cung, phạt...);",BRING+IN_1380530514437.mp3
casual,"không trịnh trọng, bình thường",CASUAL_1380530514437.mp3
code,"bộ luật, quy luật,điều lệ, mã",CODE_1380530514437.mp3
glimpse,"lướt qua, thoáng qua",GLIMPSE_1380530514437.mp3
made of,"tạo nên, làm từ",MADE+OF_1380530514437.mp3
out of,"hết, mất",OUT+OF_1380530514437.mp3
outdated,hết hạn,OUTDATED_1380530514437.mp3
practice,"tập luyện, hành nghề, thực hành",PRACTICE_1380530514437.mp3
reinforce,"củng cố, gia cố, tăng cường",REINFORCE_1380530514437.mp3
verbally,"bằng miệng, bằng lời nói;",speech_20180213064503109.mp3
disk,cái đĩa,DISK_1380530514437.mp3
facilitate,"làm cho dễ dàng, làm cho thuận tiện",FACILITATE_1380530514437.mp3
network,"(n): mạng, lưới, mạng lưới; (v): nối mạng; giữ mối quan hệ, kết nối.",NETWORK.mp3
popularity,"tính đại chúng, phổ biến;sự nổi tiếng, sự yêu mến của nhân dân",POPULARITY_1380530514437.mp3
process,"(n): quá trình, sự tiến triển, sự tiến hành; phương pháp, cách thức;(v): xử lý, chế biến, gia công",PROCESS_1380530514437.mp3
replace,"thay thế, đặt lại chỗ cũ",REPLACE_1380530514437.mp3
revolution,"cuộc cách mạng, quay vòng",REVOLUTION_1380530514437.mp3
sharp,"(adj): sắc, bén, rõ rệt, sắc nét; thông minh, láu lỉnh; thình lình, đột ngột",SHARP_1380530514437.mp3
skill,"kỹ năng, kỹ xảo; sự khéo léo, sự tinh xảo;",SKILL_1380643440871.mp3
software,phần mềm,SOFTWARE_1380530514437.mp3
store,"dự trữ, lưu trữ, lưu kho",store-2.mp3
technical,Kỹ thuật,TECHNICAL_1380530514437.mp3
assemble,"thu thập,tập hợp, lắp ráp",ASSEMBLE_1380530514437.mp3
beforehand,"sớm, trước",BEFOREHAND_1380530514437.mp3
complicated,phức tạp,COMPLICATED_1380530514437.mp3
courier,"người chuyển phát, đưa thư",COURIER_1380530514437.mp3
express,"(gửi) nhanh, tốc hành;bày tỏ, biểu lộ (tình cảm)",EXPRESS_1380643440874.mp3
fold,"phủ, bao bọc, gấp lại",FOLD_1380530514437.mp3
layout,"sự bố trí, sự sắp đặt",LAYOUT_1380530514437.mp3
mention,"đưa ra, đề cập đến",MENTION_1380530514437.mp3
petition,"đơn (pháp lý), lời thỉnh cầu, đề nghị",PETITION_1380530514437.mp3
proof,"bằng chứng; xử lý, kiểm tra",PROOF_1380530514437.mp3
registered,"đã vào sổ, đã đăng ký",REGISTERED_1380530514437.mp3
revise,"sửa lại, xem xét lại",REVISE_1380530514437.mp3
abundant,"thừa thãi; nhiều, phong phú, dồi dào",ABUNDANT_1380530514437.mp3
accomplishment,"Việc đã hoàn thành, thành quả, thành tựu, thành tích",ACCOMPLISHMENT_1380530514437.mp3
bring together,"gom lại; nhóm lại, họp lại",BRING+TOGETHER_1380530514437.mp3
candidate,"Người dự thi; thí sinh, ứng cử viên",CANDIDATE_1380530514437.mp3
come up with,"trù tính, dự kiến (to plan); nghĩ đến, nghĩ ra (to think of, to invent);",COME+UP+WITH_1380530514437.mp3
commensurate,"(+with) xứng với, tương xứng với, thích hợp với",COMMENSURATE_1380530514437.mp3
match,"(n): ‹cái› xứng nhau, hợp nhau; địch thủ, đối thủ, người ngang tài sức;(v): xứng, hợp, sánh được, làm cho xứng/hợp; đối chọi, đối địch",MATCH.mp3
profile,"mô tả sơ lược,tiểu sử sơ lược, bản tóm lược các đặc tính",PROFILE_1380530514437.mp3
qualification,"(n): tư cách, khả năng, năng lực, trình độ (để làm cáigì);(số nhiều) văn bằng / chứng chỉ",QUALIFICATION.mp3
recruit,tuyển dụng; thành viên mới,RECRUIT_1380530514437.mp3
submit,"đệ trình, đưa ra ý kiến là",SUBMIT_1380530514437.mp3
time-consuming,"cần nhiều thời jan, tốn nhiều thời gian",TIME-CONSUMING_1380530514437.mp3
ability,"khả năng, năng lực",ABILITY_1380530514437.mp3
apply,"nộp đơn, ứng tuyển",APPLY_1380530514437.mp3
background,"kiến thức, kinh nghiệm, quá trình đào tạo, quá trìnhhọc tập;",BACKGROUND_1380530514437.mp3
beready for,sẵn sàng cho…,BE+READY+FOR_1380530514437.mp3
call in,"mời tới, liên lạc, thông báo (qua điện thoại),",CALL+IN_1380530514437.mp3
confidence,"sự tự tin;sự tin tưởng;chuyện riêng, tâm sự giấu kín",CONFIDENCE_1380643440874.mp3
constantly,"luôn luôn, liên miên;",CONSTANTLY.mp3
expert,"nhà chuyên môn, chuyên sâu, thành thạo",EXPERT.mp3
follow up,"tiếp tục, tiếp theo",FOLLOW+UP_1380530514437.mp3
hesitate,"do dự, lưỡng lự",HESITATE_1380530514437.mp3
present,"(v): trình bày, bày tỏ, trình bày (to show); giới thiệu (to introduce);biếu, tặng, trình, dâng, đưa, nộp;(n,adj): quà tặng, tặng phẩm; hiện nay, hiện tại; có mặt, hiện diện",PRESENT.mp3
presentation,"sự trình diễn, sự giới thiệu, sự trình ra, sự trình bày",PRESENTATION.mp3
weakness,"điểm yếu, sự yếu đuối",WEAKNESS.mp3
conduct,"(n): hạnh kiểm, tư cách, cách cư xử; ‹sự› chỉ đạo, điều khiển, quảnlý...(v): đối xử, cư xử; chỉ đạo, điều khiển, quản lý, hướng dẫn, tổ chức;",CONDUCT_1380643440874.mp3
generate,"sinh ra, tạo ra",GENERATE_1380530514437.mp3
hire,"(v) : thuê, mướn;(n) : nhân viên",HIRE_1380530514437.mp3
keep up with,"giữ cân bằng, thích ứng với, theo kịp.",KEEP+UP+WITH_1380530514437.mp3
look up to,"Khâm phục, ngưỡng mộ,tôn kính, kính trọng (admire);",LOOK+UP+TO_1380530514437.mp3
mentor,người cố vấn,MENTOR_1380530514437.mp3
on track,tập trung vào (focused); đúng thời gian đã định (on schedule);,ON+TRACK_1380530514437.mp3
reject,"(n): đồ thừa, đồ bỏ, phế phẩm;(v): từ chối, bác bỏ, loại bỏ;",REJECT_1380643440874.mp3
set up,"(v,adj): thành lập, dựng lên (establish, established); bố trí, sắp xếp (arrange,arranged);",SET+UP_1380530514437.mp3
success,thành công,SUCCESS.mp3
training,"sự đào tạo, huấn luyệnNgoài lề : staff số ít là nhân viên, số nhiều là những cán bộ, những người có quyền lực trong tổ chức",TRAINING.mp3
update,"cập nhật, nâng cấp",UPDATE_1380530514437.mp3
aware,"có kiến thức hoặc nhận thức về ai/cái gì, nhận thức",AWARE.mp3
basis,"nền tảng, cơ sở, căn cứ;",BASIS_1380530514437.mp3
beaware of,"nhận biết, có ý thức, biết, biết được (be conscious of);",BE+AWARE+OF_1380530514437.mp3
benefit,"(n): lợi ích, trợ cấp, phúc lợi;(v): làm lợi, giúp ích; được lợi, hưởnglợi",BENEFIT_1380530514437.mp3
compensate,"bù, bồi thường, đền bù, chi trả, thanh toán",COMPENSATE_1380530514437.mp3
delicate,"nhạy bén, khéo léo, nhẹ nhàng, tinh vi, tế nhị, nhạy cảm;",DELICATE_1380643440874.mp3
eligible,"đủ tư cách, thích hợp",ELIGIBLE_1380530514437.mp3
flexibly,"linh hoạt, dễ sai khiến, dễ uốn nắn",speech_20180211173253002.mp3
negotiate,"đàm phán, thương lượng",NEGOTIATE_1380530514437.mp3
raise,"tăng lên, sự tăng lương",RAISE.mp3
retire,nghỉ hưu,RETIRE_1380643440874.mp3
vested,"được quyền, được phép, được ban cho",VESTED_1380530514437.mp3
wage,"tiền công, tiền lương trả theo giờ làm việc",speech_20180125043654072.mp3
achieve,"giành được, hoàn thành, đạt được",ACHIEVE_1380530514437.mp3
contribute,"đóng góp, góp phần",CONTRIBUTE.mp3
dedication,"sự cống hiến, sự hiến dâng",DEDICATION_1380530514437.mp3
look forward to,"chờ đợi, mong đợi",LOOK+FORWARD+TO_1380530514437.mp3
look to,"phụ thuộc vào, dựa vào,tin vào, trông cậy vào, mong đợi ở (ai);",LOOK+TO.mp3
loyal,trung thành,LOYAL_1380643440874.mp3
merit,"giá trị (cao, tốt, tài giỏi); công lao, công trạng;",MERIT_1380530514437.mp3
obvious,"rõ ràng, rành mạch, hiển nhiên",OBVIOUS_1380643440874.mp3
promote,"đề đạt, thăng chức; đẩy mạnh, xúc tiến; đề xướng, tích cực ủng hộ",PROMOTE_1380643440874.mp3
recognition,"sự công nhận, sự thừa nhận",RECOGNITION_1380643440874.mp3
value,"coi trọng (không dùng ở present continuous tense), định giá",VALUE.mp3
bargain,"mặc cả, thỏa thuận;sự mặc cả, sự thỏa thuận",BARGAIN.mp3
bear,"chịu đựng;mang, vác; đỡ, chống đỡ;(bất qui tắc) ngoại động từ (bore; borne, born)",speech_20180517014947149.mp3
behaviour,"thái độ, cách đối xử; cách cư xử, cách ăn ở; tư cách đạo đức",BEHAVIOUR.mp3
checkout,"quầy thanh toán;thanh toán;(việc/thời gian/nơi chốn) thanh toán để rời đi (ở siêu thị,KS...);",CHECKOUT_1380530514437.mp3
comfort,"thoải mái, dễ dàng, an ủi, làm khuây khỏa",COMFORT_1380530514437.mp3
expand,"nới rộng, mở rộng;phát triển (một vấn đề)",EXPAND_1380530514437.mp3
explore,"thăm dò, thám hiểm, khám phá, khảo sát tỉ mỉ",EXPLORE_1380530514437.mp3
item,"mặt hàng, món đồ, mục",ITEM_1380530514437.mp3
mandatory,"(thuộc) bắt buộc,mệnh lệnh",MANDATORY_1380530514437.mp3
merchandise,"(n): hàng hóa; (v): buôn bán, quảng bá sản phẩm",MERCHANDISE_1380530514437.mp3
strict,"chặt chẽ, nghiêm khắc, nghiêm ngặt",STRICT_1380530514437.mp3
trend,"xu hướng, xu thế",TREND_1380530514437.mp3
diversify,"đa dạng hóa, làm cho thành nhiều dạng, thay đổi;",speech_20180126114050346.mp3
enterprise,"sự nghiệp, dự án lớn; tổ chức kinh doanh, hãng, công ty,xí nghiệp",ENTERPRISE_1380530514437.mp3
essentially,"(adv): về bản chất, về cơ bản (basically); rốt cuộc, cuối cùng(finally);",speech_20180126120118117.mp3
everyday,"thông thường, thông dụng, hàng ngày",EVERYDAY_1380530514437.mp3
function,"(n): hàm số, chức năng, nhiệm vụ; (v): hoạt động, thực hiện chứcnăng/nhiệm vụ;",FUNCTION_1380530514437.mp3
maintain,"bảo quản, giữ gìn, duy trì",MAINTAIN_1380530514437.mp3
prerequisite,"điều tiên quyết, điều kiện tiên quyết, cần trước hết, đòi hỏitrước hết;",PREREQUISITE_1380530514437.mp3
quality,"chất lượng, phẩm chất; đặc tính, năng lực, tài năng, đức tính;",QUALITY_1380530514437.mp3
obtain,"đạt được, thu được, giành được (bằng nỗ lực được lập kế hoạc từ trước)",speech_20180126140559538.mp3
smooth,"nhẵn, trơn, mượt, phẳng lặng; trôi chảy, êm thấm; hòa nhã, lễđộ;",smooth_1380643440871.mp3
source,"nguồn, nguồn gốc",SOURCE_1380530514437.mp3
stationery,"đồ dùng văn phòng, văn phòng phẩm(giấy để viết và bao thư)",STATIONERY.mp3
accurately,"(một cách) chính xác, đúng đắn, xác đáng",speech_20180127025401315.mp3
carrier,người hoặc một hãng vận chuyển,CARRIER_1380530514437.mp3
catalogue,ca ta lô; lập danh mục,CATALOGUE_1380530514437.mp3
fulfill,"thực hiện, hoàn thành, làm trọn (nhiệm vụ);đáp ứng (mong muốn, mục đích)",FULFILL_1380530514437.mp3
integral,"tích phân;tích hợp, cần thiết cho trọn vẹn, trọn vẹn, nguyên khối, quan trọng;",INTEGRAL_1380530514437.mp3
inventory,"(n): (sự/bản) kiểm kê, tóm tắt; hàng hóa tồn kho, hàng trongkho;(v): kiểm kê, tóm tắt, lập danh mục hàng hóa",INVENTORY_1380530514437.mp3
minimize,"giảm tới mức tối thiểu; làm giảm tầm quan trọng, làm nhỏ lại",MINIMIZE_1380530514437.mp3
on-hand,"có thể dùng được, có sẵn (available);",ON+HAND_1380530514437.mp3
remember,"nhớ, nhớ lại, ghi nhớ",REMEMBER_1380530514437.mp3
ship,vận chuyển,SHIP_1380530514437.mp3
shipper,"người chở hàng, công ty vận chuyển hàng; người gửi hàng",SHIPPER_1380530514437.mp3
sufficient,"đủ, có đủ (enough);",SUFFICIENT_1380530514437.mp3
supply,"cung cấp, tiếp tế, đáp ứng (nhu cầu); đồ dự trữ, sự cung cấp",SUPPLY_1380530514437.mp3
charge,"(n): tiền phải trả, tiền công, thù lao;(v): tính tiền, đòi trả, bắt chịu chiphí;",CHARGE.mp3
compile,"thu thập, biên soạn, soạn thảo",COMPILE_1380530514437.mp3
customer,khách hàng,CUSTOMER_1380530514437.mp3
discount,"giảm giá, chiết khấu",DISCOUNT_1380530514437.mp3
efficient,"hiệu quả, có năng suất cao",EFFICIENT_1380530514437.mp3
estimate,"ước lượng, đánh giá; sự ước lượng, sự đánh giá",ESTIMATE_1380530514437.mp3
impose,"áp đặt, ép buộc, bắt ai phải làm gì đó; đánh (thuế...), bắt chịu;thường đi với on, upon;",IMPOSE.mp3
mistake,"(n): lỗi, sai, nhầm; (v): phạm lỗi, phạm sai lầm; hiểu nhầm, nhầmlẫn;",MISTAKE.mp3
order,"(n): thứ tự, trật tự, thứ, bậc, loại; mệnh lệnh, nội quy, thủ tục; sự đặt hàng, đơnđặt hàng;(v): ra lệnh, chỉ dẫn; đặt hàng, gọi món ăn;",ORDER.mp3
promptly,"mau lẹ, nhanh chóng, ngay lập tức, tức thời;",Promptly_20181112004320661.mp3
rectify,"chỉnh lưu; sửa lại cho đúng,sửa cho đúng, sửa cho ngay;",RECTIFY_1380530514437.mp3
terms,"điều kiện, điều khoản; thời hạn, kỳ hạn, học kỳ, khóa học, phiên tòa",TERMS.mp3
adjustment,"(n): điều chỉnh, chỉnh lý, sự sửa lại cho đúng",speech_20180127065446758.mp3
automatically,(một cách) tự động,speech_20180127065732850.mp3
crucial,"cốt yếu, chủ yếu, có tính quyết định;",CRUCIAL_1380530514437.mp3
discrepancy,"sự khác nhau, trái ngược nhau; không nhấtquán/thống nhất;",DISCREPANCY_1380530514437.mp3
disturb,"quấy rầy, quấy rối, làm náo động, gây náo loạn, làm ồn, làmphiền;",DISTURB_1380530514437.mp3
liability,"trách nhiệm, nghĩa vụ pháp lý; nguy cơ, điều gây khó khăntrở ngại;",LIABILITY_1380530514437.mp3
reflection,"(sự) phản chiếu, phản xạ, phản ánh, hình ảnh; phê phán,nhận xét;",speech_20180127072630627.mp3
run,"chạy, vận hành, hoạt động, thực hiện;",RUN.mp3
scan,"nhìn lướt, đọc lướt; quét (ra đa, đèn, hình ảnh...);",SCAN_1380530514437.mp3
subtract,"trừ đi, khấu trừ",SUBTRACT_1380530514437.mp3
tedious,"chán ngắt, tẻ nhạt, nhạt nhẽo, buồn tẻ",TEDIOUS_1380530514437.mp3
verify,"kiểm tra, thẩm tra, xác minh;",VERIFY.mp3
accept,"đồng ý, chấp thuận; đảm nhận (công việc)",ACCEPT_1380530514437.mp3
balance,Số dư tài khoản; cân bằng/quyết toán tài khoản,BALANCE_1380530514437.mp3
borrow,"vay, mượn",BORROW_1380530514437.mp3
cautiously,"thận trọng, cẩn thận",speech_20180127113920823.mp3
deduct,khấu trừ,DEDUCT_1380530514437.mp3
dividend,"Tiền lãi cổ phần, cổ tức;",DIVIDEND_1380530514437.mp3
down payment,"tiền đặt cọc; tiền trả trước một phần, sự trả trước một phần;",DOWN+PAYMENT_1380530514437.mp3
mortgage,"cầm cố, thế chấp; tiền thế chấp, khoản thế chấp",MORTGAGE_1380530514437.mp3
restricted,"bị hạn chế, bị giới hạn",speech_20180127122115973.mp3
signature,chữ ký,SIGNATURE_1380643440874.mp3
take out,"rút ra, lấy ra",TAKE+OUT_1380530514437.mp3
transaction,sự giao dịch; hành động giao dịch;,TRANSACTION_1380530514437.mp3
accounting,kế toán,ACCOUNTING_1380530514437.mp3
accumulate,"tích lũy, chất đống, chồng chất; làm giàu, tích của;",ACCUMULATE_1380530514437.mp3
asset,"tài sản, vốn quý;",ASSET_1380530514437.mp3
audit,"kiểm toán, báo cáo kiểm toán",AUDIT_1380530514437.mp3
budget,"ngân quỹ, ngân sách; dự toán, tiêu tốn, dự thảo ngân sách;",BUDGET_1380530514437.mp3
build up,"Sự tăng cường, xây dựng dần lên; tăng lên, nâng cao",BUILD+UP_1380530514437.mp3
client,khách hàng,CLIENT_1380643440874.mp3
debt,khoản nợ,DEBT_1380643440874.mp3
outstanding,"còn tồn tại, chưa giải quyết xong, chưa trả nợ",OUTSTANDING_1380530514437.mp3
profitably,"có lợi, có ích; thuận lợi;sinh lãi, mang lại lợi nhuận;",speech_20180127154049845.mp3
reconcile,"giải hoà, giảng hoà, làm cho hoà thuận;điều hoà, làm hoà hợp, cân bằng sổ sách kế toán, cân bằng tài khoản",RECONCILE_1380530514437.mp3
turnover,"doanh số, doanh thu;tỷ lệ luân chuyển hàng hóa;tỷ lệ thay thế nhân công;",TURNOVER_1380530514437.mp3
aggressive,"xông xáo, tháo vát, năng nổ, linh hoạt; hung hăng, gây hấn, bạo lực;",speech_20180128080958582.mp3
attitude,"thái độ, quan điểm",ATTITUDE_1380643440871.mp3
commit,"cam kết, ủy thác",speech_20180128084302981.mp3
conservative,"bảo thủ, thận trọng, dè dặt;",CONSERVATIVE.mp3
fund,"(n) nguồn tiền, quỹ dự trữ; kho; (v) tài trợ, cấp tiền cho;",FUND_1380643440874.mp3
invest,đầu tư,INVEST_1380530514437.mp3
long term,dài hạn,LONG-TERM_1380530514437.mp3
portfolio,"danh mục vốn đầu tư, danh mục đầu tư;",PORTFOLIO_1380530514437.mp3
pull out,"(v) rút ra, rút khỏi, thôi không tham gia; (n) sự rút lui",PULL+OUT_1380530514437.mp3
resource,"tài nguyên, tài sản",RESOURCE_1380643440874.mp3
return,"tiền thu về, tiền lãi, trả lại",RETURN.mp3
wise,"khôn ngoan, từng trải, thông thái, uyên bác;",WISE.mp3
calculation,"(sự/kết quả) tính, tính toán; ‹sự› dự tính, trù liệu, sự suy xét, sự cân nhắc;",speech_20180212121922613.mp3
deadline,"hạn cuối, thời hạn chót",DEADLINE_1380530514437.mp3
file,"kê khai, nộp, gửi (đơn từ, giấy tờ, tài liệu cho cơ quan nhà nước), khởi kiện;",FILE.mp3
fill out,điền vào (cho đầy đủ);,FILL+OUT_1380530514437.mp3
give up,"ngừng, từ bỏ, bỏ cuộc;",GIVE+UP_1380530514437.mp3
joint,"chung, cùng nhau;",JOINT_1380530514437.mp3
owe,"nợ, mắc nợ; mang ơn, hàm ơn, chịu ơn;",OWE_1380530514437.mp3
penalty,"khoản tiền phạt, hình phạt;",PENALTY_1380530514437.mp3
preparation,"(sự) chuẩn bị, sửa soạn;",speech_20180128103115848.mp3
refund,"(n, v): (n) sự trả lại tiền; (v) trả lại, hoàn lại tiền",REFUND_1380530514437.mp3
spouse,vợ hoặc chồng,SPOUSE_1380530514437.mp3
withhold,"cố nín, cố nhịn, kìm lại, giữ lại (to refrain from, to keepfrom);từ chối không làm, từ chối không cho (to refuse to do sth);giấu, giấu diếm (toconceal)Lưu ý sự khác nhau:- To withhold sth: từ chối không cho cái gì- To refuse sth: từ chối không nhận (không chấp nhận) cái gì",WITHHOLD_1380530514437.mp3
desire,"thèm muốn, khao khát, ao ước;",speech_20180128110253467.mp3
detail,"kể chi tiết, trình bày tỉ mỉ;",DETAIL_1380643440874.mp3
forecast,"dự đoán, dự báo trước",FORECAST_1380643440874.mp3
level,"mức, cấp, cấp bậc, trình độ",LEVEL_1380530514437.mp3
overall,"toàn bộ, toàn thể, tất cả; nói chung",OVERALL_1380530514437.mp3
perspective,"luật xa gần, luật phối cảnh; cảnh trông xa, viễn cảnh,triển vọng",PERSPECTIVE_1380530514437.mp3
project,"ước lượng, dự kiến (về mặt doanh thu)",PROJECT.mp3
realistic,"hiện thực, thực tế",REALISTIC.mp3
target,"(v) đặt mục tiêu, nhắm vào, hướng vào; (n) mục tiêu, mục đích (goal)",TARGET.mp3
translation,"(n): bản dịch, bài dịch, sự chuyển đổi.",TRANSLATION.mp3
